restart: 0,restart: 1,restart: 2,restart: 3,restart: 4,restart: 5,restart: 6,restart: 7,restart: 8,restart: 9
0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666,0.9086666666666666
0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608
0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493
0.7863,0.7863,0.7863,0.7863,0.7863,0.7863,0.7863,0.7863,0.7863,0.7863
